fips,county,Population,total_est_poverty
21001,Adair,"19,264","3,978"
21003,Allen,"21,788","3,549"
21005,Anderson,"24,613","2,200"
21007,Ballard,"7,582","1,075"
21009,Barren,"45,008","7,951"
21011,Bath,"12,975","2,289"
21013,Bell,"23,317","6,547"
21015,Boone,"140,496","10,333"
21017,Bourbon,"20,134","2,832"
21019,Boyd,"47,826","8,249"
21021,Boyle,"30,988","4,115"
21023,Bracken,"8,426","1,198"
21025,Breathitt,"12,953","3,850"
21027,Breckinridge,"21,124","3,419"
21029,Bullitt,"84,863","7,130"
21031,Butler,"12,375","1,828"
21033,Caldwell,"12,551","1,940"
21035,Calloway,"38,280","6,130"
21037,Campbell,"93,702","9,417"
21039,Carlisle,"4,704",600
21041,Carroll,"10,987","1,736"
21043,Carter,"26,366","4,922"
21045,Casey,"15,918","3,268"
21047,Christian,"72,032","11,900"
21049,Clark,"37,304","3,979"
21051,Clay,"19,648","6,673"
21053,Clinton,"9,148","2,120"
21055,Crittenden,"8,974","1,560"
21057,Cumberland,"6,000","1,364"
21059,Daviess,"103,458","16,349"
21061,Edmonson,"12,448","1,968"
21063,Elliott,"7,245","1,575"
21065,Estill,"13,936","3,136"
21067,Fayette,"320,154","48,315"
21069,Fleming,"15,442","2,774"
21071,Floyd,"34,423","9,052"
21073,Franklin,"51,644","5,883"
21075,Fulton,"6,338","1,497"
21077,Gallatin,"8,792","1,134"
21079,Garrard,"17,829","3,104"
21081,Grant,"25,619","3,268"
21083,Graves,"36,461","6,322"
21085,Grayson,"26,825","4,611"
21087,Green,"11,468","1,995"
21089,Greenup,"35,221","5,522"
21091,Hancock,"8,920","1,049"
21093,Hardin,"112,273","15,567"
21095,Harlan,"25,324","7,364"
21097,Harrison,"19,415","2,651"
21099,Hart,"19,724","3,438"
21101,Henderson,"44,119","5,699"
21103,Henry,"15,973","2,302"
21105,Hickman,"4,447",807
21107,Hopkins,"44,929","7,018"
21109,Jackson,"13,104","3,110"
21111,Jefferson,"772,144","122,737"
21113,Jessamine,"55,017","5,485"
21115,Johnson,"22,116","5,434"
21117,Kenton,"171,321","17,971"
21119,Knott,"13,659","3,401"
21121,Knox,"29,794","10,115"
21123,Larue,"15,303","2,437"
21125,Laurel,"63,296","13,527"
21127,Lawrence,"16,000","3,262"
21129,Lee,"7,293","1,918"
21131,Leslie,"9,864","2,541"
21133,Letcher,"20,423","4,794"
21135,Lewis,"12,973","2,816"
21137,Lincoln,"24,776","4,680"
21139,Livingston,"8,892","1,263"
21141,Logan,"28,283","4,137"
21143,Lyon,"9,187","1,169"
21145,McCracken,"67,428","10,425"
21147,McCreary,"17,050","5,471"
21149,McLean,"9,054","1,320"
21151,Madison,"96,735","12,655"
21153,Magoffin,"11,228","3,239"
21155,Marion,"19,834","2,826"
21157,Marshall,"31,744","4,308"
21159,Martin,"10,928","4,492"
21161,Mason,"16,841","2,814"
21163,Meade,"30,131","3,485"
21165,Menifee,"6,286","1,558"
21167,Mercer,"23,097","3,049"
21169,Metcalfe,"10,482","2,505"
21171,Monroe,"11,306","2,645"
21173,Montgomery,"28,527","4,106"
21175,Morgan,"14,283","3,019"
21177,Muhlenberg,"30,568","5,786"
21179,Nelson,"47,730","6,100"
21181,Nicholas,"7,686","1,296"
21183,Ohio,"23,626","3,715"
21185,Oldham,"70,183","3,801"
21187,Owen,"11,313","1,726"
21189,Owsley,"4,001","1,294"
21191,Pendleton,"14,810","1,945"
21193,Perry,"27,133","7,849"
21195,Pike,"55,973","12,737"
21197,Powell,"12,972","2,782"
21199,Pulaski,"66,191","11,056"
21201,Robertson,"2,313",442
21203,Rockcastle,"16,190","3,446"
21205,Rowan,"24,409","5,199"
21207,Russell,"18,279","4,008"
21209,Scott,"60,168","5,883"
21211,Shelby,"49,515","5,582"
21213,Simpson,"20,195","2,691"
21215,Spencer,"20,531","1,426"
21217,Taylor,"26,443","4,863"
21219,Todd,"12,494","2,011"
21221,Trigg,"14,369","1,939"
21223,Trimble,"8,607","1,128"
21225,Union,"13,106","1,866"
21227,Warren,"142,229","19,312"
21229,Washington,"12,267","1,582"
21231,Wayne,"19,580","4,808"
21233,Webster,"12,726","1,901"
21235,Whitley,"36,825","9,399"
21237,Wolfe,"6,282","1,753"
21239,Woodford,"27,268","2,818"
